Name,long,Lat
Ceratocephale oculata,-82.653,24.494
Ceratocephale oculata,-82.647,24.396
Ceratocephale oculata,-82.643,25.673
Ceratocephale oculata,-82.631,24.652
Ceratocephale oculata,-82.621,25.95
Ceratocephale oculata,-82.62,26.219
Ceratocephale oculata,-82.605,25.489
Ceratocephale oculata,-82.591,25.831
Ceratocephale oculata,-82.549,26.305
Ceratocephale oculata,-82.525,26.009
Ceratocephale oculata,-82.516,25.626
Ceratocephale oculata,-82.516,24.458
Ceratocephale oculata,-82.489,24.618
Ceratocephale oculata,-82.48,24.685
Ceratocephale oculata,-82.469,25.222
Ceratocephale oculata,-82.456,24.483
Ceratocephale oculata,-82.434,25.903
Ceratocephale oculata,-82.425,25.338
Ceratocephale oculata,-82.425,24.654
Ceratocephale oculata,-82.418,25.085
Ceratocephale oculata,-82.414,26.409
Ceratocephale oculata,-82.408,26.537
Ceratocephale oculata,-82.356,25.243
Ceratocephale oculata,-82.334,25.667
Ceratocephale oculata,-82.332,25.667
Ceratocephale oculata,-82.323,25.66
Ceratocephale oculata,-82.315,26.29
Ceratocephale oculata,-82.287,25.511
Ceratocephale oculata,-82.284,26.393
Ceratocephale oculata,-82.268,26.3
Ceratocephale oculata,-82.257,25.308
Ceratocephale oculata,-82.253,25.693
Ceratocephale oculata,-82.251,25.731
Ceratocephale oculata,-82.233,25.832
Ceratocephale oculata,-82.216,24.503
Ceratocephale oculata,-82.214,25.567
Ceratocephale oculata,-82.206,25.627
Ceratocephale oculata,-82.203,24.902
Ceratocephale oculata,-82.174,24.715
Ceratocephale oculata,-82.162,25.289
Ceratocephale oculata,-82.161,25.956
Ceratocephale oculata,-82.16,26.359
Ceratocephale oculata,-82.152,24.525
Ceratocephale oculata,-82.147,26.019
,-82.132,26.014
Ceratocephale oculata,-82.131,26.017
Ceratocephale oculata,-82.116,26.245
Ceratocephale oculata,-82.113,24.689
Ceratocephale oculata,-82.069,26.195
Ceratocephale oculata,-82.063,25.276
Ceratocephale oculata,-82.061,25.867
Ceratocephale oculata,-82.061,24.571
Ceratocephale oculata,-82.059,26.104
Ceratocephale oculata,-82.058,25.09
Ceratocephale oculata,-82.054,25.324
Ceratocephale oculata,-82.05,24.5
Ceratocephale oculata,-82.038,25.62
Ceratocephale oculata,-82.037,24.427
Ceratocephale oculata,-82.018,25.769
Ceratocephale oculata,-82.004,25.486
Ceratocephale oculata,-82.001,24.65
Ceratocephale oculata,-81.981,26.257
Ceratocephale oculata,-81.972,25.007
Ceratocephale oculata,-81.966,25.564
Ceratocephale oculata,-81.958,24.414
Ceratocephale oculata,-81.95,25.991
Ceratocephale oculata,-81.911,24.425
Ceratocephale oculata,-81.903,25.548
Ceratocephale oculata,-81.9,26.06
Ceratocephale oculata,-81.885,26.054
Ceratocephale oculata,-81.86,25.91
Ceratocephale oculata,-81.843,24.832
Ceratocephale oculata,-81.842,24.832
Ceratocephale oculata,-81.829,24.511
Ceratocephale oculata,-81.824,24.799
Ceratocephale oculata,-81.823,24.8
Ceratocephale oculata,-81.822,24.8
Ceratocephale oculata,-81.818,25.014
Ceratocephale oculata,-81.817,25.014
Ceratocephale oculata,-81.814,25.115
Ceratocephale oculata,-81.802,24.577
Ceratocephale oculata,-81.796,24.629
Ceratocephale oculata,-81.771,25.591
Ceratocephale oculata,-81.751,25.229
Ceratocephale oculata,-81.725,24.775
Ceratocephale oculata,-81.723,25.183
Ceratocephale oculata,-81.716,24.811
Ceratocephale oculata,-81.716,24.81
Ceratocephale oculata,-81.714,24.81
Ceratocephale oculata,-81.691,24.512
Ceratocephale oculata,-81.635,24.546
Ceratocephale oculata,-81.572,24.705
Ceratocephale oculata,-81.57,25.067
Ceratocephale oculata,-81.528,25.089
Ceratocephale oculata,-81.527,24.501
Ceratocephale oculata,-81.432,25.01
Ceratocephale oculata,-81.371,24.541
Ceratocephale oculata,-81.316,30.35
Ceratocephale oculata,-81.313,24.776
Ceratocephale oculata,-81.311,30.358
Ceratocephale oculata,-81.31,30.336
Ceratocephale oculata,-81.303,30.364
Ceratocephale oculata,-81.298,30.333
Ceratocephale oculata,-81.294,24.737
Ceratocephale oculata,-81.291,30.35
Ceratocephale oculata,-81.284,30.35
Ceratocephale oculata,-81.273,30.367
Ceratocephale oculata,-81.257,25.125
,-81.251,30.383
Ceratocephale oculata,-81.248,24.664
Ceratocephale oculata,-81.216,24.842
Ceratocephale oculata,-81.216,24.841
Ceratocephale oculata,-81.184,24.837
Ceratocephale oculata,-81.166,24.854
Ceratocephale oculata,-81.135,25.039
Ceratocephale oculata,-81.134,25.058
Ceratocephale oculata,-81.134,25.046
Ceratocephale oculata,-81.115,24.915
Ceratocephale oculata,-81.081,24.845
Ceratocephale oculata,-81.079,24.644
Ceratocephale oculata,-81.074,25.065
Ceratocephale oculata,-81.067,25.065
Ceratocephale oculata,-81.062,24.983
Ceratocephale oculata,-81.061,24.93
Ceratocephale oculata,-81.06,24.602
Ceratocephale oculata,-81.033,25.053
Ceratocephale oculata,-81.019,24.656
Ceratocephale oculata,-80.984,24.899
Ceratocephale oculata,-80.984,24.898
Ceratocephale oculata,-80.958,24.632
,-80.953,29.466
,-80.952,29.467
,-80.952,29.466
Ceratocephale oculata,-80.95,24.842
Ceratocephale oculata,-80.926,24.886
Ceratocephale oculata,-80.907,24.973
Ceratocephale oculata,-80.837,29.043
Ceratocephale oculata,-80.797,24.874
Ceratocephale oculata,-80.605,24.955
,-80.599,30.383
Ceratocephale oculata,-80.547,24.868
Ceratocephale oculata,-80.44,24.932
,-80.433,31.05
,-80.365,29.571
,-80.364,29.569
Ceratocephale oculata,-80.363,25.273
Ceratocephale oculata,-80.359,25.31
Ceratocephale oculata,-80.339,31.538
Ceratocephale oculata,-80.33,25.016
Ceratocephale oculata,-80.325,25.102
Ceratocephale oculata,-80.3,25.324
Ceratocephale oculata,-80.279,29.992
Ceratocephale oculata,-80.271,25.241
Ceratocephale oculata,-80.263,25.064
Ceratocephale oculata,-80.262,25.623
Ceratocephale oculata,-80.252,25.32
Ceratocephale oculata,-80.243,25.184
,-80.223,25.632
Ceratocephale oculata,-80.219,25.682
Ceratocephale oculata,-80.219,25.635
Ceratocephale oculata,-80.214,25.711
Ceratocephale oculata,-80.193,25.181
Ceratocephale oculata,-80.185,25.793
Ceratocephale oculata,-80.18,25.793
Ceratocephale oculata,-80.162,25.797
Ceratocephale oculata,-80.16,25.877
,-80.157,25.826
Ceratocephale oculata,-80.155,25.453
Ceratocephale oculata,-80.154,25.778
,-80.152,25.8
Ceratocephale oculata,-80.142,25.809
Ceratocephale oculata,-80.087,25.544
Ceratocephale oculata,-80.049,26.335
Ceratocephale oculata,-79.839,31.566
Ceratocephale oculata,-79.738,32.318
Ceratocephale oculata,-79.711,31.578
,-79.708,32.493
,-79.633,32.083
Ceratocephale oculata,-79.62,31.581
Ceratocephale oculata,-79.037,32.347
,-79.035,31.791
Ceratocephale oculata,-78.998,32.402
Ceratocephale oculata,-78.335,33.788
Ceratocephale oculata,-77.926,33.486
,-77.586,33.201
Ceratocephale oculata,-76.539,33.955
